kanji,count,strokes,translation,kun_readings,on_readings,radical_basis,radical_meaning,kun_romaji,on_romaji
出,71,5,"exit, leave, go out, come out, put out, protrude","で.る, -で, だ.す, -だ.す, い.でる, い.だす","シュツ, スイ",凵,container,"de.ru, -de, da.su, -da.su, i.deru, i.dasu","shutsu, sui"
支,12,4,"branch, support, sustain, branch radical (no. 65)","ささ.える, つか.える, か.う",シ,支,branch,"sasa.eru, tsuka.eru, ka.u",shi
授,4,11,"impart, instruct, grant, confer","さず.ける, さず.かる",ジュ,手,hand,"sazu.keru, sazu.karu",ju
摩,2,15,"chafe, rub, polish, grind, scrape","ま.する, さす.る, す.る",マ,手,hand,"ma.suru, sasu.ru, su.ru",ma
座,8,10,"squat, seat, cushion, gathering, sit",すわ.る,ザ,广,house,suwa.ru,za
談,7,15,"discuss, talk",None,ダン,言,speech,None,dan
雑,9,14,miscellaneous,"まじ.える, まじ.る","ザツ, ゾウ",隹,small,"maji.eru, maji.ru","zatsu, zou"
貨,7,11,"freight, goods, property",たから,カ,貝,shell,takara,ka
殺,4,10,"kill, murder, butcher, slice off, split, diminish, reduce, spoil","ころ.す, -ごろ.し, そ.ぐ, あや.める","サツ, サイ, セツ",殳,weapon,"koro.su, -goro.shi, so.gu, aya.meru","satsu, sai, setsu"
人,67,2,person,"ひと, -り, -と","ジン, ニン",人,man,"hito, -ri, -to","jin, nin"
察,5,14,"guess, presume, surmise, judge, understand",None,サツ,宀,roof,None,satsu
悟,2,10,"enlightenment, perceive, discern, realize, understand",さと.る,ゴ,心,heart,sato.ru,go
中,48,4,"in, inside, middle, mean, center","なか, うち, あた.る",チュウ,丨,line,"naka, uchi, ata.ru",chuu
標,6,15,"signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target","しるべ, しるし",ヒョウ,木,tree,"shirube, shirushi",hyou
様,18,14,"Esq., way, manner, situation, polite suffix","さま, さん","ヨウ, ショウ",木,tree,"sama, san","you, shou"
寒,3,12,cold,さむ.い,カン,宀,roof,samu.i,kan
侍,1,8,"waiter, samurai, wait upon, serve","さむらい, はべ.る","ジ, シ",人,man,"samurai, habe.ru","ji, shi"
障,6,14,"hinder, hurt, harm",さわ.る,ショウ,dam,mound,sawa.ru,shou
酸,5,14,"acid, bitterness, sour, tart",す.い,サン,酉,wine,su.i,san
岳,1,8,"point, peak, mountain",たけ,ガク,山,mountain,take,gaku
参,8,8,"nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in","まい.る, まい-, まじわる, みつ","サン, シン",厶,private,"mai.ru, mai-, majiwaru, mitsu","san, shin"
院,8,10,"Inst., institution, temple, mansion, school",None,イン,dam,mound,None,in
休,19,6,"rest, day off, retire, sleep","やす.む, やす.まる, やす.める",キュウ,人,man,"yasu.mu, yasu.maru, yasu.meru",kyuu
残,9,10,"remainder, leftover, balance","のこ.る, のこ.す, そこな.う, のこ.り","ザン, サン",歹,death,"noko.ru, noko.su, sokona.u, noko.ri","zan, san"
金,31,8,gold,"かね, かな-, -がね","キン, コン, ゴン",金,metal,"kane, kana-, -gane","kin, kon, gon"
酷,2,14,"cruel, severe, atrocious, unjust",ひど.い,コク,酉,wine,hido.i,koku
照,8,13,"illuminate, shine, compare, bashful","て.る, て.らす, て.れる",ショウ,火,fire,"te.ru, te.rasu, te.reru",shou
桟,1,10,"scaffold, cleat, frame, jetty, bolt (door)",かけはし,"サン, セン",木,tree,kakehashi,"san, sen"
橋,4,16,bridge,はし,キョウ,木,tree,hashi,kyou
賛,2,15,"approve, praise, title or inscription on picture, assist, agree with","たす.ける, たた.える",サン,貝,shell,"tasu.keru, tata.eru",san
美,10,9,"beauty, beautiful",うつく.しい,"ビ, ミ",羊,sheep,utsuku.shii,"bi, mi"
腹,6,13,"abdomen, belly, stomach",はら,フク,肉,meat,hara,fuku
婦,5,11,"lady, woman, wife, bride",よめ,フ,女,woman,yome,fu
科,18,9,"department, course, section",None,カ,禾,grain,None,ka
物,58,8,"thing, object, matter","もの, もの-","ブツ, モツ",牛,cow,"mono, mono-","butsu, motsu"
脈,3,10,"vein, pulse, hope",すじ,ミャク,肉,meat,suji,myaku
仕,17,5,"attend, doing, official, serve",つか.える,"シ, ジ",人,man,tsuka.eru,"shi, ji"
飼,2,13,"domesticate, raise, keep, feed",か.う,シ,食,eat,ka.u,shi
育,12,8,"bring up, grow up, raise, rear","そだ.つ, そだ.ち, そだ.てる, はぐく.む",イク,肉,meat,"soda.tsu, soda.chi, soda.teru, haguku.mu",iku
潮,1,15,"tide, salt water, opportunity","しお, うしお",チョウ,水,water,"shio, ushio",chou
歯,6,12,"tooth, cog","よわい, は, よわ.い, よわい.する",シ,止,stop,"yowai, ha, yowa.i, yowai.suru",shi
自,28,6,oneself,"みずか.ら, おの.ずから, おの.ずと","ジ, シ",自,self,"mizuka.ra, ono.zukara, ono.zuto","ji, shi"
我,6,7,"ego, I, selfish, our, oneself","われ, わ, わ.が-, わが-",ガ,戈,spear,"ware, wa, wa.ga-, waga-",ga
覚,13,12,"memorize, learn, remember, awake, sober up","おぼ.える, さ.ます, さ.める, さと.る",カク,見,see,"obo.eru, sa.masu, sa.meru, sato.ru",kaku
色,14,6,color,いろ,"ショク, シキ",色,colour,iro,"shoku, shiki"
彩,1,11,"coloring, paint, makeup",いろど.る,サイ,彡,bristle,irodo.ru,sai
式,12,6,"style, ceremony, rite, function, method, system, form, expression",None,シキ,弋,shoot,None,shiki
場,31,12,"location, place",ば,"ジョウ, チョウ",土,earth,ba,"jou, chou"
軽,7,12,"lightly, trifling, unimportant","かる.い, かろ.やか, かろ.んじる","ケイ, キョウ, キン",車,cart,"karu.i, karo.yaka, karo.njiru","kei, kyou, kin"
蔑,1,14,"ignore, despise, neglect, ridicule","ないがしろ, なみ.する, くらい, さげす.む",ベツ,艸,grass,"naigashiro, nami.suru, kurai, sagesu.mu",betsu
経,13,11,"sutra, longitude, pass thru, expire, warp","へ.る, た.つ, たていと, はか.る, のり","ケイ, キョウ, キン",糸,silk,"he.ru, ta.tsu, tateito, haka.ru, nori","kei, kyou, kin"
歴,4,14,"curriculum, continuation, passage of time",None,"レキ, レッキ",止,stop,None,"reki, rekki"
路,8,13,"path, route, road, distance","-じ, みち","ロ, ル",足,foot,"-ji, michi","ro, ru"
劇,6,15,"drama, play",None,ゲキ,刀,knife,None,geki
激,6,16,"violent, get excited, enraged, chafe, incite",はげ.しい,ゲキ,水,water,hage.shii,geki
励,4,7,"encourage, be diligent, inspire","はげ.む, はげ.ます",レイ,力,power,"hage.mu, hage.masu",rei
獣,3,16,"animal, beast","けもの, けだもの",ジュウ,犬,dog,"kemono, kedamono",juu
結,17,12,"tie, bind, contract, join, organize, do up hair, fasten","むす.ぶ, ゆ.う, ゆ.わえる","ケツ, ケチ",糸,silk,"musu.bu, yu.u, yu.waeru","ketsu, kechi"
核,2,10,"nucleus, core, kernel",None,カク,木,tree,None,kaku
月,25,4,"month, moon",つき,"ゲツ, ガツ",月,moon,tsuki,"getsu, gatsu"
謝,4,17,"apologize, thank, refuse",あやま.る,シャ,言,speech,ayama.ru,sha
勝,11,12,"victory, win, prevail, excel","か.つ, -が.ち, まさ.る, すぐ.れる, かつ",ショウ,力,power,"ka.tsu, -ga.chi, masa.ru, sugu.reru, katsu",shou
晶,1,12,"sparkle, clear, crystal",None,ショウ,日,sun,None,shou
束,6,7,"bundle, sheaf, ream, tie in bundles, govern, manage, control","たば, たば.ねる, つか, つか.ねる",ソク,木,tree,"taba, taba.neru, tsuka, tsuka.neru",soku
断,15,11,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting","た.つ, ことわ.る, さだ.める",ダン,斤,axe,"ta.tsu, kotowa.ru, sada.meru",dan
賦,1,15,"levy, ode, prose, poem, tribute, installment",None,"フ, ブ",貝,shell,None,"fu, bu"
欠,7,4,"lack, gap, fail, yawning radical (no. 76)","か.ける, か.く","ケツ, ケン",欠,lack,"ka.keru, ka.ku","ketsu, ken"
乏,4,4,"destitution, scarce, limited","とぼ.しい, とも.しい",ボウ,丿,slash,"tobo.shii, tomo.shii",bou
蹴,2,19,kick,け.る,"シュク, シュウ",足,foot,ke.ru,"shuku, shuu"
飛,8,9,"fly, skip (pages), scatter","と.ぶ, と.ばす, -と.ばす",ヒ,飛,fly,"to.bu, to.basu, -to.basu",hi
煙,6,13,smoke,"けむ.る, けむり, けむ.い",エン,火,fire,"kemu.ru, kemuri, kemu.i",en
家,25,10,"house, home, family, professional, expert, performer","いえ, や, うち","カ, ケ",宀,roof,"ie, ya, uchi","ka, ke"
来,23,7,"come, due, next, cause, become","く.る, きた.る, きた.す, き.たす, き.たる, き, こ","ライ, タイ",木,tree,"ku.ru, kita.ru, kita.su, ki.tasu, ki.taru, ki, ko","rai, tai"
下,48,3,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","カ, ゲ",一,one,"shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","ka, ge"
痢,1,12,diarrhea,None,リ,疒,sickness,None,ri
威,3,9,"intimidate, dignity, majesty, menace, threaten","おど.す, おど.し, おど.かす",イ,女,woman,"odo.su, odo.shi, odo.kasu",i
形,14,7,"shape, form, style","かた, -がた, かたち, なり","ケイ, ギョウ",彡,bristle,"kata, -gata, katachi, nari","kei, gyou"
型,4,9,"mould, type, model","かた, -がた",ケイ,土,earth,"kata, -gata",kei
健,5,11,"healthy, health, strength, persistence",すこ.やか,ケン,人,man,suko.yaka,ken
検,5,12,"examination, investigate",しら.べる,ケン,木,tree,shira.beru,ken
子,29,3,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac","こ, -こ, ね","シ, ス, ツ",子,child,"ko, -ko, ne","shi, su, tsu"
元,13,4,"beginning, former time, origin",もと,"ゲン, ガン",儿,legs,moto,"gen, gan"
首,10,9,"neck, counter for songs and poems",くび,シュ,首,head,kubi,shu
書,27,10,write,"か.く, -が.き, -がき",ショ,曰,say,"ka.ku, -ga.ki, -gaki",sho
懸,3,20,"state of suspension, hang, depend, consult, distant, far apart","か.ける, か.かる","ケン, ケ",心,heart,"ka.keru, ka.karu","ken, ke"
賞,7,15,"prize, reward, praise",ほ.める,ショウ,貝,shell,ho.meru,shou
全,19,6,"whole, entire, all, complete, fulfill","まった.く, すべ.て",ゼン,入,enter,"matta.ku, sube.te",zen
素,16,10,"elementary, principle, naked, uncovered",もと,"ソ, ス",糸,silk,moto,"so, su"
到,3,8,"arrival, proceed, reach, attain, result in",いた.る,トウ,刀,knife,ita.ru,tou
動,30,11,"move, motion, change, confusion, shift, shake","うご.く, うご.かす",ドウ,力,power,"ugo.ku, ugo.kasu",dou
的,9,8,"bull's eye, mark, target, object, adjective ending",まと,テキ,白,white,mato,teki
尊,5,12,"revered, valuable, precious, noble, exalted","たっと.い, とうと.い, たっと.ぶ, とうと.ぶ",ソン,寸,thumb,"tatto.i, touto.i, tatto.bu, touto.bu",son
貴,3,12,"precious, value, prize, esteem, honor","たっと.い, とうと.い, たっと.ぶ, とうと.ぶ",キ,貝,shell,"tatto.i, touto.i, tatto.bu, touto.bu",ki
等,12,12,"etc., and so forth, class (first), quality, equal, similar","ひと.しい, など, -ら",トウ,竹,bamboo,"hito.shii, nado, -ra",tou
堂,4,11,"public chamber, hall",None,ドウ,土,earth,None,dou
投,6,7,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss","な.げる, -な.げ",トウ,手,hand,"na.geru, -na.ge",tou
導,5,15,"guidance, leading, conduct, usher",みちび.く,ドウ,寸,thumb,michibi.ku,dou
当,34,6,"hit, right, appropriate, himself","あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし",トウ,彐,pig,"a.taru, a.tari, a.teru, a.te, masa.ni, masa.nibeshi",tou
封,5,9,"seal, closing",None,"フウ, ホウ",寸,thumb,None,"fuu, hou"
逃,8,9,"escape, flee, shirk, evade, set free","に.げる, に.がす, のが.す, のが.れる",トウ,辵,walk,"ni.geru, ni.gasu, noga.su, noga.reru",tou
亡,5,3,"deceased, the late, dying, perish","な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす","ボウ, モウ",亠,lid,"na.i, na.ki-, horo.biru, horo.bu, horo.bosu","bou, mou"
冬,2,5,winter,ふゆ,トウ,冫,ice,fuyu,tou
眠,6,10,"sleep, die, sleepy","ねむ.る, ねむ.い",ミン,目,eye,"nemu.ru, nemu.i",min
盟,2,13,"alliance, oath",None,メイ,皿,dish,None,mei
登,5,12,"ascend, climb up","のぼ.る, あ.がる","トウ, ト, ドウ, ショウ, チョウ",癶,footsteps,"nobo.ru, a.garu","tou, to, dou, shou, chou"
録,5,16,record,"しる.す, と.る",ロク,金,metal,"shiru.su, to.ru",roku
討,4,10,"chastise, attack, defeat, destroy, conquer",う.つ,トウ,言,speech,u.tsu,tou
遠,10,13,"distant, far",とお.い,"エン, オン",辵,walk,too.i,"en, on"
回,22,6,"-times, round, game, revolve, counter for occurrences","まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える","カイ, エ",囗,enclosure,"mawa.ru, -mawa.ru, -mawa.ri, mawa.su, -mawa.su, mawa.shi-, -mawa.shi, motoo.ru, ka.eru","kai, e"
時,20,10,"time, hour","とき, -どき",ジ,日,sun,"toki, -doki",ji
折,9,7,"fold, break, fracture, bend, yield, submit","お.る, おり, お.り, -お.り, お.れる","セツ, シャク",手,hand,"o.ru, ori, o.ri, -o.ri, o.reru","setsu, shaku"
研,4,9,"polish, study of, sharpen",と.ぐ,ケン,石,stone,to.gu,ken
特,17,10,special,None,トク,牛,cow,None,toku
技,7,7,"skill, art, craft, ability, feat, performance, vocation, arts",わざ,ギ,手,hand,waza,gi
裁,6,12,"tailor, judge, decision, cut out (pattern)","た.つ, さば.く",サイ,衣,clothes,"ta.tsu, saba.ku",sai
集,18,12,"gather, meet, congregate, swarm, flock","あつ.まる, あつ.める, つど.う",シュウ,隹,small,"atsu.maru, atsu.meru, tsudo.u",shuu
占,4,5,"fortune-telling, divining, forecasting, occupy, hold, have, get, take","し.める, うらな.う",セン,卜,divination,"shi.meru, urana.u",sen
創,5,12,"genesis, wound, injury, hurt, start, originate","つく.る, はじ.める, きず, けず.しける","ソウ, ショウ",刀,knife,"tsuku.ru, haji.meru, kizu, kezu.shikeru","sou, shou"
派,5,9,"faction, group, party, clique, sect, school",None,ハ,水,water,None,ha
遂,2,12,"consummate, accomplish, attain, commit (suicide)","と.げる, つい.に",スイ,辵,walk,"to.geru, tsui.ni",sui
年,36,6,"year, counter for years",とし,ネン,干,pestle,toshi,nen
頃,6,11,"time, about, toward","ころ, ごろ, しばら.く","ケイ, キョウ",頁,leaf,"koro, goro, shibara.ku","kei, kyou"
締,7,15,"tighten, tie, shut, lock, fasten","し.まる, し.まり, し.める, -し.め, -じ.め",テイ,糸,silk,"shi.maru, shi.mari, shi.meru, -shi.me, -ji.me",tei
途,8,10,"route, way, road",みち,ト,辵,walk,michi,to
土,12,3,"soil, earth, ground, Turkey",つち,"ド, ト",土,earth,tsuchi,"do, to"
台,10,5,"pedestal, a stand, counter for machines and vehicles","うてな, われ, つかさ","ダイ, タイ",口,mouth,"utena, ware, tsukasa","dai, tai"
絶,8,12,"discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled","た.える, た.やす, た.つ",ゼツ,糸,silk,"ta.eru, ta.yasu, ta.tsu",zetsu
許,5,11,"permit, approve","ゆる.す, もと",キョ,言,speech,"yuru.su, moto",kyo
突,13,8,"stab, protruding, thrust, pierce, prick, collision, sudden",つ.く,"トツ, カ",穴,cave,tsu.ku,"totsu, ka"
如,1,6,"likeness, like, such as, as if, better, best, equal",ごと.し,"ジョ, ニョ",女,woman,goto.shi,"jo, nyo"
破,11,10,"rend, rip, tear, break, destroy, defeat, frustrate","やぶ.る, やぶ.れる, わ.れる",ハ,石,stone,"yabu.ru, yabu.reru, wa.reru",ha
届,3,8,"deliver, reach, arrive, report, notify, forward","とど.ける, -とど.け, とど.く",カイ,尸,corpse,"todo.keru, -todo.ke, todo.ku",kai
滞,5,13,"stagnate, be delayed, overdue, arrears",とどこお.る,"タイ, テイ",水,water,todokoo.ru,"tai, tei"
整,8,16,"organize, arranging, tune, tone, meter, key (music)","ととの.える, ととの.う",セイ,攴,rap,"totono.eru, totono.u",sei
止,17,4,"stop, halt","と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し",シ,止,stop,"to.maru, -do.mari, to.meru, -to.meru, -do.me, todo.meru, todo.me, todo.maru, ya.meru, ya.mu, -ya.mu, yo.su, -sa.su, -sa.shi",shi
唱,2,11,"chant, recite, call upon, yell",とな.える,ショウ,口,mouth,tona.eru,shou
殿,5,13,"Mr., hall, mansion, palace, temple, lord","との, -どの","デン, テン",殳,weapon,"tono, -dono","den, ten"
俵,1,10,"bag, bale, sack, counter for bags",たわら,ヒョウ,人,man,tawara,hyou
扉,1,12,"front door, title page, front page",とびら,ヒ,戶,door,tobira,hi
溝,2,13,"gutter, ditch, sewer, drain, 10**32",みぞ,コウ,水,water,mizo,kou
徒,2,10,"on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people","いたずら, あだ",ト,彳,step,"itazura, ada",to
歩,10,8,"walk, counter for steps","ある.く, あゆ.む","ホ, ブ, フ",止,stop,"aru.ku, ayu.mu","ho, bu, fu"
木,11,4,"tree, wood","き, こ-","ボク, モク",木,tree,"ki, ko-","boku, moku"
富,4,12,"wealth, enrich, abundant","と.む, とみ","フ, フウ",宀,roof,"to.mu, tomi","fu, fuu"
共,12,6,"together, both, neither, all, and, alike, with","とも, とも.に, -ども",キョウ,八,eight,"tomo, tomo.ni, -domo",kyou
稼,2,15,"earnings, work, earn money",かせ.ぐ,カ,禾,grain,kase.gu,ka
伴,1,7,"consort, accompany, bring with, companion",ともな.う,"ハン, バン",人,man,tomona.u,"han, ban"
働,4,13,"work, (kokuji)",はたら.く,ドウ,人,man,hatara.ku,dou
取,34,8,"take, fetch, take up","と.る, と.り, と.り-, とり, -ど.り",シュ,又,right,"to.ru, to.ri, to.ri-, tori, -do.ri",shu
扱,4,6,"handle, entertain, thresh, strip","あつか.い, あつか.う, あつか.る, こ.く","ソウ, キュウ",手,hand,"atsuka.i, atsuka.u, atsuka.ru, ko.ku","sou, kyuu"
鳥,4,11,"bird, chicken",とり,チョウ,鳥,bird,tori,chou
替,10,12,"exchange, spare, substitute, per-","か.える, か.え-, か.わる",タイ,曰,say,"ka.eru, ka.e-, ka.waru",tai
組,11,11,"association, braid, plait, construct, assemble, unite, cooperate, grapple","く.む, くみ, -ぐみ",ソ,糸,silk,"ku.mu, kumi, -gumi",so
次,7,6,"next, order, sequence","つ.ぐ, つぎ","ジ, シ",欠,lack,"tsu.gu, tsugi","ji, shi"
引,35,4,"pull, tug, jerk, admit, install, quote, refer to","ひ.く, ひ.ける",イン,弓,bow,"hi.ku, hi.keru",in
巻,4,9,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)","ま.く, まき, ま.き","カン, ケン",己,oneself,"ma.ku, maki, ma.ki","kan, ken"
戻,4,7,"re-, return, revert, resume, restore, go backwards","もど.す, もど.る",レイ,戶,door,"modo.su, modo.ru",rei
